"Date","GSPC","N225","FTSE","FCHI","GDAXI","SSE","BSE","HSI","TWII","MOEX"
2020-07-23,3235.65991210938,22739.689453125,6211.39990234375,5033.759765625,13103.3896484375,3325.11010742188,38140.46875,25263,12413.0400390625,2851.7900390625
2020-07-24,3215.6298828125,22727.76953125,6123.7998046875,4956.43017578125,12838.0595703125,3196.76806640625,38128.8984375,24705.330078125,12304.0400390625,2863.1201171875
2020-07-27,3239.40991210938,22715.849609375,6104.89990234375,4939.6201171875,12838.66015625,3205.22705078125,37934.73046875,24603.259765625,12588.2998046875,2884.8798828125
2020-07-28,3218.43994140625,22657.380859375,6129.2998046875,4928.93994140625,12835.2802734375,3227.9599609375,38492.94921875,24772.759765625,12586.73046875,2895.44995117188
2020-07-29,3258.43994140625,22397.109375,6131.5,4958.740234375,12822.259765625,3294.55200195312,38071.12890625,24883.140625,12540.9697265625,2918.419921875
2020-07-30,3246.21997070312,22339.23046875,5990,4852.93994140625,12379.650390625,3286.82202148438,37736.0703125,24710.58984375,12722.919921875,2882.6298828125
2020-07-31,3271.1201171875,21710,5897.7998046875,4783.68994140625,12313.3603515625,3310.00708007812,37606.890625,24595.349609375,12664.7998046875,2911.57006835938
2020-08-03,3294.61010742188,22195.380859375,6032.89990234375,4875.93017578125,12646.98046875,3367.96606445312,36939.6015625,24458.130859375,12513.0302734375,2929.96997070312
2020-08-04,3306.51000976562,22573.66015625,6036,4889.52001953125,12600.8701171875,3371.68994140625,37687.91015625,24946.630859375,12709.919921875,2940.4599609375
2020-08-05,3327.77001953125,22514.849609375,6104.7001953125,4933.33984375,12660.25,3377.56005859375,37663.328125,25102.5390625,12802.2998046875,2992.78002929688
2020-08-06,3349.15991210938,22418.150390625,6026.89990234375,4885.1298828125,12591.6796875,3386.4599609375,38025.44921875,24930.580078125,12913.5,2988.5
2020-08-07,3351.28002929688,22329.939453125,6032.2001953125,4889.52001953125,12674.8798828125,3354.03491210938,38040.5703125,24531.619140625,12828.8701171875,2972.35009765625
2020-08-10,3360.46997070312,22540.08984375,6050.60009765625,4909.509765625,12687.5302734375,3379.251953125,38182.078125,24377.4296875,12894,2960.78002929688
2020-08-11,3333.68994140625,22750.240234375,6154.2998046875,5027.990234375,12946.8896484375,3340.2900390625,38407.01171875,24890.6796875,12780.1904296875,3005.6298828125
2020-08-12,3380.35009765625,22843.9609375,6280.10009765625,5073.31005859375,13058.6298828125,3319.26611328125,38369.62890625,25244.01953125,12670.349609375,3053.98999023438
2020-08-13,3373.42993164062,23249.609375,6185.60009765625,5042.3798828125,12993.7099609375,3320.72607421875,38310.48828125,25230.669921875,12763.1298828125,3080.43994140625
2020-08-14,3372.85009765625,23289.359375,6090,4962.93017578125,12901.33984375,3360.09912109375,37877.33984375,25183.009765625,12795.4599609375,3061.98999023438
2020-08-17,3381.98999023438,23096.75,6127.39990234375,4971.93994140625,12920.66015625,3438.80102539062,38050.78125,25347.33984375,12956.1103515625,3052.4599609375
